관광지,지역,위도,경도,추천월,추천이유,스타일
경복궁,서울,37.5796,126.9770,"3,4,5,10,11","벚꽃과 단풍 감상","역사탐방"
창덕궁,서울,37.5794,126.9910,"3,4,5,10,11","고궁 산책","역사탐방"
북촌한옥마을,서울,37.5826,126.9830,"3,4,5,10","전통문화 체험","역사탐방"
남산타워,서울,37.5512,126.9882,"4,5,9,10","서울 야경 감상","자연경관"
롯데월드,서울,37.5110,127.0980,"1,2,3,4,5,6,7,8,9,10,11,12","사계절 이용 가능","액티비티"
코엑스,서울,37.5125,127.0580,"1,2,3,4,5,6,7,8,9,10,11,12","실내 관광","휴양"
에버랜드,용인,37.2945,127.2020,"3,4,5,6,9,10","놀이기구와 축제","액티비티"
남이섬,춘천,37.7916,127.5258,"10,11","단풍 명소","자연경관"
아침고요수목원,가평,37.7436,127.3526,"4,5,10,12","꽃축제와 조명축제","자연경관"
불국사,경주,35.7900,129.3320,"3,4,5,10,11","역사문화 탐방","역사탐방"
첨성대,경주,35.8347,129.2191,"4,5,10","야경과 꽃구경","역사탐방"
황리단길,경주,35.8380,129.2110,"3,4,5,9,10","감성 거리 관광","휴양"
경주월드,경주,35.8360,129.2830,"3,4,5,6,9,10","놀이공원","액티비티"
해운대,부산,35.1587,129.1604,"6,7,8","해수욕","휴양"
광안리,부산,35.1532,129.1187,"6,7,8","야경과 해변","휴양"
감천문화마을,부산,35.0970,129.0107,"3,4,5,9,10","벽화마을 관광","휴양"
태종대,부산,35.0526,129.0872,"4,5,9,10","해안 절경","자연경관"
성산일출봉,제주,33.4589,126.9425,"5,6,9,10","일출 관람","자연경관"
우도,제주,33.5065,126.9559,"5,6,7,8","바다 풍경","휴양"
협재해수욕장,제주,33.3945,126.2395,"6,7,8","에메랄드빛 바다","휴양"
한라산,제주,33.3617,126.5292,"9,10","등산 최적기","액티비티"
섭지코지,제주,33.4240,126.9300,"4,5,6,9","해안 풍경","자연경관"
경포해변,강릉,37.8058,128.9078,"6,7,8","해변 관광","휴양"
정동진,강릉,37.6892,129.0336,"5,6,9","일출 명소","자연경관"
오죽헌,강릉,37.7792,128.8765,"4,5,10","역사 교육 관광","역사탐방"
하슬라아트월드,강릉,37.6994,129.0186,"4,5,9,10","예술 체험","휴양"
태백산,태백,37.0963,128.9174,"1,2","눈꽃 산행","액티비티"
대관령양떼목장,평창,37.6820,128.7580,"5,6,9,10","초원 풍경","자연경관"
평창송어축제,평창,37.3700,128.3900,"1,2","겨울 축제","액티비티"
남이섬겨울축제,춘천,37.7916,127.5258,"12,1","겨울 풍경","휴양"
